"Story","Title","Result","Date","Stability","Duration (s)"
"Google search","Verify entering text in Google search - Failed test","FAILURE","2020-03-20T16:35:29.501Z[Europe/London]","0.0","6.13"
"Google search","Verify entering text in Google search - Passed test","SUCCESS","2020-03-20T16:35:29.751Z[Europe/London]","0.0","5.62"
